"Unidade Hospitalar","Nota Fiscal",SÉRIE,"Valor  Bruto",Emisaão,"Oxigenio Medicinal Cil PP","Oxigenio Medicinal Carga Cil G","Ar Medicinal Cil K 6,6M3 NC","Oxigenio Liquido Caminh Tanque","Oxigenio Medicinal Cil K 7M3","Loc Cil Grab'n Go Viproxy","Nitrogenio Gas Cil K 6.6M","Carga O2 Grabn Go Viproxy","Oxigenio Medicinal Cil T 10M3","Oxido Nitroso Cil T 33 KG","Nitrogenio Gas Cil T 9M3","Oxido Nitroso Cil K 28 KG","Ar Medicinal Cil T 9,6M3 NC","Ar Medicinal Cil PP NC","Oxigenio Medicinal Cil Q 3.5M3",,"Oxigenio Medicinal Carga Cil G",(Tudo),,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96882,200,275.33,2021/02/01,,,,,14,,,5,10,,,,,,,,"Oxigenio Liquido Caminh Tanque",(Tudo),,,,,
"H.Metropolitano de Alagoas",7208,48,32.48,2021/02/01,2,,,,,,,,,,,,,,,,"Oxigenio Medicinal Cil K 7M3",(Tudo),,,,,
"H.Metropolitano de Alagoas",7207,48,64.97,2021/02/01,,4,,,,,,,,,,,,,,,"Carga O2 Grabn Go Viproxy",(Tudo),,,,,
HGE,1187,40,370.96,2021/02/01,,,,,,,6.6,,,,,,,,,,"Oxigenio Medicinal Cil T 10M3",(Tudo),,,,,
"Hospital da Mulher",1188,40,210.5,2021/02/01,,2,,,,,,4,,,,,,,,,"Oxigenio Medicinal Cil Q 3.5M3",(Tudo),,,,,
"SAMU MACEIÓ",7200,48,324.84,2021/02/01,4,,,,,,,16,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1199,40,32.48,2021/02/02,,2,,,,,,,,,,,,,,,"Soma de Oxigenio Medicinal Cil PP","Soma de Oxigenio Medicinal Carga Cil G","Soma de Oxigenio Liquido Caminh Tanque","Soma de Oxigenio Medicinal Cil K 7M3","Soma de Carga O2 Grabn Go Viproxy","Soma de Oxigenio Medicinal Cil T 10M3","Soma de Oxigenio Medicinal Cil Q 3.5M3"
"Unidade e Centro de Referência de União",690,32,388.44,2021/02/02,,3,,,42,,,,,,,,,,,,481,192,138800,644,574,1110,7
HGE,1200,40,16.24,2021/02/02,,,,,,,,1,,,,,,,,,,,,,,,
HGE,1196,40,420.99,2021/02/02,,,,,,,,6,40,,,,,,,,"SOMA 02 GASOSO",3008,,,,,
"Hospital da Mulher",1198,40,64.97,2021/02/02,,1,,,,,,3,,,,,,,,,"SOMA 02 LÍQUIDO",138800,,,,,
"SAMU MACEIÓ",7213,48,406.04,2021/02/02,21,,,,,,,4,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",201,77,16110.54,2021/02/03,,,,9102,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96915,200,48.73,2021/02/03,,,,,,,,3,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7230,48,48.73,2021/02/03,,3,,,,,,,,,,,,,,,,,,,,,
HGE,1204,40,387.2,2021/02/03,,,,,,,6.6,8,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7237,48,352.78,2021/02/03,,2,39.6,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1208,40,48.72,2021/02/03,,1,,,,,,2,,,,,,,,,,,,,,,
"Hospital da Mulher",1180,40,97.45,2021/02/03,,2,,,,,,4,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7224,48,146.17,2021/02/03,8,,,,,,,1,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96941,200,146.18,2021/02/04,,,,,,,,9,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",701,32,485.3,2021/02/04,,,,,,,,,60,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",699,32,647.4,2021/02/04,,5,,,70,,,,,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",697,32,809.17,2021/02/04,,5,,,,,,,90,,,,,,,,,,,,,,
"Hospital da Mulher",1214,40,113.7,2021/02/04,,3,,,,,,4,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1210,40,141.55,2021/02/04,,,,,14,,,,,,,,,,3.5,,,,,,,,
HGE,1213,40,517.78,2021/02/04,,,,,,,,2,60,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96932,200,81.21,2021/02/04,,,,,,,,5,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7240,48,328.08,2021/02/04,10,,,,,,,7,,,,,,6,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7262,48,323.54,2021/02/05,,,,,,,,,40,,,,,,,,,,,,,,
"SAMU MACEIÓ",7255,48,113.69,2021/02/05,6,,,,,,,1,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96952,200,207.89,2021/02/05,18,,,,,,,,,,,,,6,,,,,,,,,
HEMOAL,1225,40,169.86,2021/02/05,,,,,21,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1221,40,16.24,2021/02/05,,,,,,,,1,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7265,48,64.97,2021/02/05,,4,,,,,,,,,,,,,,,,,,,,,
HGE,1220,40,1607.93,2021/02/05,,,,,,,,11,,66,,,,,,,,,,,,,
"Unidade Mista Dr. Antônio Serpa",47225,99,113.69,2021/02/06,,,,,,5,,,,,,,,,,,,,,,,,
"Unidade Mista Senador Arnon Afonso Farias de Melo",47219,99,90.95,2021/02/06,,,,,,4,,,,,,,,,,,,,,,,,
"UNIDADE MISTA QUITÉRIA BEZERRA DE MELO",47221,99,113.69,2021/02/06,,,,,,5,,,,,,,,,,,,,,,,,
HEMOAL,47190,99,68.22,2021/02/06,,,,,,3,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",47187,99,454.77,2021/02/06,,,,,,20,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1233,40,64.97,2021/02/06,,1,,,,,,3,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7278,48,32.48,2021/02/06,,2,,,,,,,,,,,,,,,,,,,,,
HGE,1229,40,403.12,2021/02/06,,,,,,,6.6,4,10,,,,,,,,,,,,,,
HGE,47196,99,1568.96,2021/02/06,,,,,,69,,,,,,,,,,,,,,,,,
HGE,1234,40,493.4,2021/02/06,,,,,21,,,,40,,,,,,,,,,,,,,
"Hospital da Mulher",7279,48,81.21,2021/02/06,,3,,,,,,2,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7276,48,161.77,2021/02/06,,,,,,,,,20,,,,,,,,,,,,,,
"SAMU MACEIÓ",7274,48,64.97,2021/02/06,,,,,,,,4,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1235,40,32.48,2021/02/07,,,,,,,,2,,,,,,,,,,,,,,,
"Hospital da Mulher",1236,40,64.97,2021/02/07,,,,,,,,4,,,,,,,,,,,,,,,
HGE,1237,40,178.66,2021/02/07,,,,,,,,11,,,,,,,,,,,,,,,
HGE,187,54,32780.4,2021/02/07,,,,18520,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96987,200,129.93,2021/02/08,,,,,,,,8,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",340,44,10743.9,2021/02/08,,,,6070,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1240,40,121.59,2021/02/08,,1,,,7,,,3,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1249,40,28.31,2021/02/08,,,,,,,,,,,,,,,3.5,,,,,,,,
HGE,1246,40,628.23,2021/02/08,2,,,,,,13.2,5,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7293,48,81.21,2021/02/08,,5,,,,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",96975,200,190.57,2021/02/08,22,,,,,,,,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7288,48,32.48,2021/02/08,2,,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7282,48,278.27,2021/02/08,10,,,,,,,5,,,,,,4,,,,,,,,,
"Unidade Denilma Bulhoes",7292,48,32.48,2021/02/08,2,,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7300,48,259.87,2021/02/09,12,,,,,,,4,,,,,,,,,,,,,,,
HGE,1259,40,599.32,2021/02/09,,,,,,,,12,50,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7305,48,48.73,2021/02/09,,3,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",717,32,210.69,2021/02/09,,6,,,14,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1254,40,64.96,2021/02/09,,2,,,,,,2,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7311,48,243.62,2021/02/10,10,,,,,,,5,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97012,200,81.21,2021/02/10,,,,,,,,5,,,,,,,,,,,,,,,
"Hospital da Mulher",279,46,21900.21,2021/02/10,,,,12373,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",356,58,3315.21,2021/02/10,,,,1873,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7319,48,16.24,2021/02/10,,1,,,,,,,,,,,,,,,,,,,,,
HGE,1264,40,259.22,2021/02/10,,,,,,,,6,20,,,,,,,,,,,,,,
"Hospital da Mulher",7325,48,48.73,2021/02/10,,3,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1268,40,113.69,2021/02/10,1,,,,,,,6,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1274,40,56.62,2021/02/11,,,,,7,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7328,48,243.62,2021/02/11,10,,,,,,,5,,,,,,,,,,,,,,,
HEMOAL,1279,40,113.24,2021/02/11,,,,,14,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1275,40,113.24,2021/02/11,,,,,14,,,,,,,,,,,,,,,,,,
HGE,1273,40,226.93,2021/02/11,,,,,14,,,7,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7331,48,16.24,2021/02/11,,1,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",727,32,32.48,2021/02/11,,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1277,40,81.21,2021/02/11,1,,,,,,,4,,,,,,,,,,,,,,,
"Hospital da Mulher",1289,40,32.48,2021/02/12,,2,,,,,,,,,,,,,,,,,,,,,
HGE,1284,40,972.66,2021/02/12,,,,,7,,6.6,9,20,,9,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7342,48,64.97,2021/02/12,,4,,,,,,,,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",7338,48,16.24,2021/02/12,,1,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",7347,48,32.48,2021/02/12,,,,,,,,2,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",97032,200,360.57,2021/02/12,36,,,,,,,3,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",1293,40,32.48,2021/02/12,2,,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1280,40,194.9,2021/02/12,6,,,,,,,6,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7351,48,292.35,2021/02/13,8,,,,,,,10,,,,,,,,,,,,,,,
"Hospital da Mulher",1295,40,64.96,2021/02/13,,2,,,,,,2,,,,,,,,,,,,,,,
HGE,1298,40,535,2021/02/13,,,,,,,,18,30,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7358,48,32.48,2021/02/13,,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",735,32,64.97,2021/02/14,,,,,,,,4,,,,,,,,,,,,,,,
HGE,734,32,129.93,2021/02/14,,,,,,,,8,,,,,,,,,,,,,,,
"Hospital da Mulher",1301,40,48.73,2021/02/14,,3,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1299,40,48.73,2021/02/14,,,,,,,,3,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7366,48,178.66,2021/02/15,5,,,,,,,6,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",2282,73,97.45,2021/02/15,,,,,,,,6,,,,,,,,,,,,,,,
"Hospital da Mulher",1303,40,89.1,2021/02/15,,,,,7,,,2,,,,,,,,,,,,,,,
HGE,1305,40,194.57,2021/02/15,,,,,,,,7,10,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7369,48,48.73,2021/02/15,,3,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",280,46,23284.35,2021/02/16,,,,13155,,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1312,40,32.48,2021/02/16,2,,,,,,,,,,,,,,,,,,,,,,
HGE,1310,40,1375.13,2021/02/16,6,,,,,,,4,,,,56,,,,,,,,,,,
"H.Metropolitano de Alagoas",7374,48,32.48,2021/02/16,,2,,,,,,,,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",7373,48,97.45,2021/02/16,,6,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1315,40,258.96,2021/02/16,,1,,,28,,,1,,,,,,,,,,,,,,,
HEMOAL,1311,40,72.86,2021/02/16,,1,,,7,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1307,40,570.63,2021/02/16,26,,,,,,,7,,,,,,4,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97072,200,81.21,2021/02/17,,,,,,,,5,,,,,,,,,,,,,,,
HGE,1323,40,48.73,2021/02/17,,,,,,,,3,,,,,,,,,,,,,,,
HGE,1322,40,1257.44,2021/02/17,,,,,70,,,11,20,,9,,,,,,,,,,,,
HGE,1317,40,32.48,2021/02/17,2,,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7381,48,48.73,2021/02/17,,3,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",190,54,6325.98,2021/02/17,,,,3574,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",747,32,64.97,2021/02/17,,4,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1328,40,259.23,2021/02/17,,3,,,,,,3,20,,,,,,,,,,,,,,
HGE,341,44,31920.18,2021/02/17,,,,18034,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas-Backup",189,54,782.34,2021/02/17,,,,442,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7382,48,80.88,2021/02/17,,,,,,,,,10,,,,,,,,,,,,,,
"SAMU MACEIÓ",7378,48,48.73,2021/02/17,,,,,,,,3,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97093,200,129.93,2021/02/18,,,,,,,,8,,,,,,,,,,,,,,,
HGE,1335,40,48.73,2021/02/18,,,,,,,,3,,,,,,,,,,,,,,,
HGE,1334,40,428.94,2021/02/18,,,,,35,,,4,10,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",749,32,178.2,2021/02/18,2,2,,,14,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1336,40,453.48,2021/02/18,,3,,,,,,5,40,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7402,48,32.48,2021/02/18,,2,,,,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7394,48,343.24,2021/02/18,12,,,,,,,7,,,,,,4,,,,,,,,,
"Unidade Denilma Bulhoes",7411,48,242.65,2021/02/19,,,,,,,,,30,,,,,,,,,,,,,,
"SAMU MACEIÓ",7407,48,341.08,2021/02/19,12,,,,,,,9,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",97112,200,747.11,2021/02/19,75,,,,,,,6,,,,,,,,,,,,,,,
"Hospital da Mulher",1345,40,242.98,2021/02/19,,,,,,,,5,20,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",254,52,5318.85,2021/02/19,,,,3005,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",754,32,1284.56,2021/02/19,2,,39.6,,,,,,,,,,115.2,,,,,,,,,,
"H.Metropolitano de Alagoas",7412,48,64.97,2021/02/19,,4,,,,,,,,,,,,,,,,,,,,,
HGE,1343,40,259.22,2021/02/19,,,,,,,,6,20,,,,,,,,,,,,,,
"Hospital da Mulher",1357,40,437.24,2021/02/20,,3,,,,,,4,40,,,,,,,,,,,,,,
HGE,1353,40,594.12,2021/02/20,,,,,,,,10,10,,9,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7422,48,48.73,2021/02/20,,3,,,,,,,,,,,,,,,,,,,,,
HEMOAL,1354,40,56.62,2021/02/20,,,,,7,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7419,48,279.36,2021/02/20,7,,,,,,,7,,,,,,6,,,,,,,,,
"Hospital da Mulher",763,32,1174.44,2021/02/21,,,145.2,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1358,40,81.21,2021/02/21,,5,,,,,,,,,,,,,,,,,,,,,
HGE,1362,40,32.48,2021/02/21,,,,,,,,2,,,,,,,,,,,,,,,
HGE,762,32,129.93,2021/02/21,,,,,,,,8,,,,,,,,,,,,,,,
"Hospital da Mulher",1361,40,170.31,2021/02/21,,1,,,7,,,6,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1363,40,113.69,2021/02/21,,,,,,,,7,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7434,48,161.77,2021/02/22,,,,,,,,,20,,,,,,,,,,,,,,
"SAMU MACEIÓ",7427,48,308.59,2021/02/22,13,,,,,,,6,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97132,200,129.93,2021/02/22,,,,,,,,8,,,,,,,,,,,,,,,
HGE,1365,40,614.99,2021/02/22,,,,,28,,,4,40,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7429,48,64.97,2021/02/22,,4,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1368,40,388.9,2021/02/22,2,3,,,28,,,5,,,,,,,,,,,,,,,
"Hospital da Mulher",1380,40,875.43,2021/02/23,,1,79.2,,21,,,3,,,,,,,,,,,,,,,
"Hosp.Centro Ref.de Porto Calvo",771,32,97.45,2021/02/23,,6,,,,,,,,,,,,,,,,,,,,,
HGE,1376,40,413.02,2021/02/23,,,,,35,,,8,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7445,48,16.24,2021/02/23,,1,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1372,40,97.45,2021/02/23,,6,,,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",4434,62,3941.79,2021/02/23,,,,2227,,,,,,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",770,32,194.45,2021/02/23,,5,,,14,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7438,48,341.08,2021/02/23,16,,,,,,,5,,,,,,,,,,,,,,,
"Unidade Dom Miguel Fenelon Câmara",7442,48,32.48,2021/02/23,2,,,,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7444,48,161.77,2021/02/23,,,,,,,,,20,,,,,,,,,,,,,,
"Hospital da Mulher",281,46,23535.69,2021/02/24,,,,13297,,,,,,,,,,,,,,,,,,,
HGE,1384,40,950.47,2021/02/24,,,,,,,19.8,11,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7461,48,64.97,2021/02/24,,4,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1388,40,786.32,2021/02/24,,1,79.2,,14,,,1,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7455,48,178.66,2021/02/24,7,,,,,,,4,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97211,200,64.97,2021/02/25,,,,,,,,4,,,,,,,,,,,,,,,
"Hospital da Mulher",1397,40,967.83,2021/02/25,2,1,,,,,,4,,,,,105.6,,,,,,,,,,
"Hospital da Mulher",1401,40,275.01,2021/02/25,,,,,14,,,,20,,,,,,,,,,,,,,
"Unidade e Centro de Referência de União",778,32,113.69,2021/02/25,,7,,,,,,,,,,,,,,,,,,,,,
"Unidade DAYSE BREDA",1395,40,113.24,2021/02/25,,,,,14,,,,,,,,,,,,,,,,,,
HGE,1402,40,243.63,2021/02/25,,,,,,,,15,,,,,,,,,,,,,,,
HGE,1392,40,388.83,2021/02/25,,,,,,,,9,30,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7478,48,64.97,2021/02/25,,4,,,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1403,40,81.21,2021/02/25,,5,,,,,,,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",97212,200,509.99,2021/02/25,57,,,,,,,1,,,,,,,,,,,,,,,
"Unidade NOELIA LESSA",1394,40,113.24,2021/02/25,,,,,14,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",7474,48,308.59,2021/02/25,11,,,,,,,8,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7480,48,161.77,2021/02/25,,,,,,,,,20,,,,,,,,,,,,,,
"SAMU MACEIÓ",7485,48,341.08,2021/02/26,12,,,,,,,9,,,,,,,,,,,,,,,
"SAMU ARAPIRACA",97228,200,48.73,2021/02/26,,,,,,,,3,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97225,200,113.69,2021/02/26,,,,,,,,7,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",191,54,12414.78,2021/02/26,,,,7014,,,,,,,,,,,,,,,,,,,
HGE,342,44,32534.37,2021/02/26,,,,18381,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",7492,48,32.48,2021/02/26,,2,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1413,40,1064.96,2021/02/26,,3,,,,,,5,10,,,,105.6,,,,,,,,,,
HGE,1411,40,1747.49,2021/02/26,,,,,14,,,6,190,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",282,46,20767.41,2021/02/27,,,,11733,,,,,,,,,,,,,,,,,,,
"H.Metropolitano de Alagoas",1428,40,97.45,2021/02/27,,6,,,,,,,,,,,,,,,,,,,,,
"Hospital da Mulher",1423,40,1818.67,2021/02/27,,2,,,,,,4,40,,,,172.8,,,,,,,,,,
HGE,1420,40,689.3,2021/02/27,,,,,,,6.6,5,,,9,,,,,,,,,,,,
HGE,1421,40,1212.71,2021/02/27,,,,,,,,,,,,56,,,,,,,,,,,
"H.Metropolitano de Alagoas",7498,48,64.97,2021/02/27,,4,,,,,,,,,,,,,,,,,,,,,
HEMOAL,1422,40,113.24,2021/02/27,,,,,14,,,,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1416,40,341.08,2021/02/27,15,,,,,,,6,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1433,40,81.21,2021/02/28,,,,,,,,5,,,,,,,,,,,,,,,
"SAMU MACEIÓ",1434,40,64.97,2021/02/28,,,,,,,,4,,,,,,,,,,,,,,,
,,,296458.2199999999,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Oxigenio Medicinal Carga Cil G",(Tudo),,,,,,
Unidade,NF,"Série NF",Emissão,"Valor R$","Oxigenio Medicinal Carga Cil G","Oxigenio Liquido Caminh Tanque","Nitrogenio Gas Cil K 6.6M3","Oxigenio Liquido Caminh Tanque","Oxigenio Medicinal Cil K 7M3","Oxigenio Medicinal Cil PP","Oxigenio Medicinal Cil T 10M3","Carga O2 Grabn Go Viproxy","Ar Medicinal Cil K 6,6M3 NC","Acetileno Gas 7kg PAT Outros .","Loc Cil Grab'n Go Viproxy","Ar Medicinal Cil PP NC","Oxigenio Medicinal Cil Q 3.5M3","Nitrogenio Gas Cil T 9M3","Oxido Nitroso Cil K 28 KG","Nitrogenio 4.6 Cil T 9M3 Padrao Gases Puros",,"Oxigenio Liquido Caminh Tanque",(Tudo),,,,,,
"HOSPITAL DA MULHER",1443,40,2021/03/01,97.45,1,,,,,1,,4,,,,,,,,,,"Oxigenio Liquido Caminh Tanque2",(Tudo),,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1447,40,2021/03/01,432.03,,,,,,,,5,,,,,,9,,,,"Oxigenio Medicinal Cil K 7M3",(Tudo),,,,,,
"HOSPITAL DA MULHER",1449,40,2021/03/01,80.88,,,,,,,10,,,,,,,,,,,"Oxigenio Medicinal Cil PP",(Tudo),,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",1455,40,2021/03/01,81.21,5,,,,,,,,,,,,,,,,,"Oxigenio Medicinal Cil T 10M3",(Tudo),,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7499,48,2021/03/01,113.69,7,,,,,,,,,,,,,,,,,"Carga O2 Grabn Go Viproxy",(Tudo),,,,,,
"Samu Maceió",7503,48,2021/03/01,341.08,,,,,,13,,8,,,,,,,,,,"Oxigenio Medicinal Cil Q 3.5M3",(Tudo),,,,,,
"Samu Maceió",7504,48,2021/03/01,34.65,,,,,,,,,,,,4,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97248,200,2021/03/01,432.03,,,,,,,,5,,,,,,,,9,,"Soma de Oxigenio Medicinal Carga Cil G","Soma de Oxigenio Liquido Caminh Tanque","Soma de Oxigenio Liquido Caminh Tanque2","Soma de Oxigenio Medicinal Cil K 7M3","Soma de Oxigenio Medicinal Cil PP","Soma de Oxigenio Medicinal Cil T 10M3","Soma de Carga O2 Grabn Go Viproxy","Soma de Oxigenio Medicinal Cil Q 3.5M3"
"HOSP E CENTRO REF UNIAO DOS PALMARES",792,32,2021/03/02,340.17,7,,,,28,,,,,,,,,,,,,306,197666,2510,1148,771,1970,847,7
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1459,40,2021/03/02,998.29,,,,,28,,40,6,,,,,,9,,,,,,,,,,,
"HOSPITAL DA MULHER",1463,40,2021/03/02,744.52,1,,,,14,,,5,66,,,,,,,,,"SOMA 02 GASOSO",7559,,,,,,
"Samu Maceió",7513,48,2021/03/02,162.41,,,,,,8,,2,,,,,,,,,,"SOMA 02 LÍQUIDO",197666,,,,,,
"Samu Maceió",7515,48,2021/03/02,324.83,,,,,,20,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7517,48,2021/03/02,80.88,,,,,,,10,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7518,48,2021/03/02,16.24,1,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1470,40,2021/03/03,211.14,,,,,,,,13,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1473,40,2021/03/03,878.93,3,,,,,,20,5,72.6,,,,,,,,,,,,,,,,
"Samu Maceió",7527,48,2021/03/03,276.11,,,,,,4,,13,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7535,48,2021/03/03,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97275,200,2021/03/03,1105.52,,,,,,122,,3,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",345,44,2021/03/04,8117.22,,4586,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",807,32,2021/03/04,89.1,2,,,,7,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",808,32,2021/03/04,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
