Contratada,"Nº Processo","Tipo de contrato","Tipo de processo","Data do Ateste","Data do Pagamento","Nº Empenho","Tipo Rubrica",PTRES,"Nº Ordem Bancária",Justificativa,Tema,"IDN Nota Fiscal","Nº Nota Fiscal","Valor bruto da contratada","Valor líquido da contratada","Veículo / Fornecedor","Valor bruto do fornecedor","Valor líquido do fornecedor","Nome fantasia do veículo","Grupo / Editora",Meios,"Tipo da praça de veiculação","Praças de Veiculação"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003872/2019-96,Publicidade,Midia,2019/11/22,2019/12/06,2019NE800085,Institucional,107783,2019OB801317,,"Ação de oportunidade - Dia da Amazônia",318805,13184,33757.03,32986.84,"16.954.565/0001-48 / TWITTER BRASIL REDE DE INFORMACAO LTDA",28426.98,25740.63,"TWITTER INTERNACIONAL",,Internet,Exterior,ALEMANHA
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003873/2019-31,Publicidade,Midia,2019/11/22,2019/12/06,2019NE800124,"Utilidade Pública",159685,2019OB801318,,"Censo Experimental 2019",318819,13191,5701.9,5571.8,"27.865.757/0033-81 / GLOBO COMUNICACAO E PARTICIPACOES S/A",4801.6,4347.85,"GLOBO - EPTV SUL DE MINAS",GLOBO,Televisão,Regional,"VARGINHA - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003873/2019-31,Publicidade,Midia,2019/11/22,2019/12/06,2019NE800124,"Utilidade Pública",159685,2019OB801318,,"Censo Experimental 2019",317545,12957,205.2,200.52,"01.385.423/0001-30 / REDE NOVO TEMPO DE COMUNICACAO",172.8,172.8,"NOVO TEMPO FM 97,5 - POCOS DE CALDAS/MG",,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003687/2019-00,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801289,,"Ação de oportunidade - Dia da Amazônia",317840,13005,10970,10970,"27.283.879/0001-82 / LIRA HARMONIA MUSICA E AUDIO LTDA",10970,10970,,,"AUDIO E VIDEO - REGRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003691/2019-60,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800124,"Utilidade Pública",159685,2019OB801290,,"Censo Experimental 2019",317841,13006,175230,175230,"14.520.791/0001-95 / HEAD PRODUCAO DE FILMES, VIDEOS E FOTOS EIRELI",175230,149909.26,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003704/2019-09,Publicidade,Midia,2019/10/31,2019/12/05,2018NE800219,"Utilidade Pública",109684,2019OB801259,,"Programa Nacional de Imunização - PNI",318060,13017,2394,2339.38,"03.459.043/0001-28 / ARTE VITAL EXIBICOES CINEMATOGRAFICAS LTDA",2016,2016,"CINE CANDIDO MENDES",,Cinema,Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003704/2019-09,Publicidade,Midia,2019/10/31,2019/12/05,2018NE800219,"Utilidade Pública",109684,2019OB801259,,"Programa Nacional de Imunização - PNI",318061,13018,3890.25,3801.49,"08.658.141/0001-08 / CINEARTE POMPEIA LTDA.",3276,3276,"ESPAÇO ITAÚ DE CINEMA - POMPÉIA (EX FITMEDIA)",,Cinema,Regional,"SAO PAULO - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003705/2019-45,Publicidade,Midia,2019/10/31,2019/12/05,2018NE800190,Institucional,107783,2019OB801262,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",318062,13019,3890.25,3801.49,"60.434.149/0001-00 / PLAYARTE CINEMAS LTDA",3276,2966.42,"CINE MANAUARA SHOPPING",,Cinema,Regional,"MANAUS - AM"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003706/2019-90,Publicidade,Midia,2019/10/31,2019/12/05,2019NE800085,Institucional,107783,2019OB801260,,"Ação de oportunidade - Dia da Amazônia",318065,13021,542796.27,530411.95,"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A",457091.6,413896.44,SBT-NACIONAL,SBT,Televisão,Nacional,Brasil
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003707/2019-34,Publicidade,Produção,2019/10/31,2019/12/05,2018NE800190,Institucional,107783,2019OB801263,,"Segurança Pública",306485,10318,70,70,"05.908.050/0001-95 / R2LABS TECNOLOGIA DA INFORMACAO E COMERCIO LTDA",70,63.38,,,"INTERNET - ADAPTACAO / ADAPTACAO DE TEXTO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003707/2019-34,Publicidade,Produção,2019/10/31,2019/12/05,2018NE800002,Institucional,107783,2019OB801263,,"Campanha 2 anos de Governo ",310803,11860,8840,8840,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",8840,8840,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003734/2019-15,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800124,"Utilidade Pública",159685,2019OB801291,,"Censo Experimental 2019",318125,13029,7500,7500,"03.003.348/0001-20 / AUDIOTECH PRODUCAO DE AUDIO LTDA",7500,7500,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003734/2019-15,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800124,"Utilidade Pública",159685,2019OB801291,,"Censo Experimental 2019",318130,13034,12200,12200,"03.003.348/0001-20 / AUDIOTECH PRODUCAO DE AUDIO LTDA",12200,12200,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003735/2019-51,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801292,,"Ação de oportunidade - Dia da Amazônia",318159,13039,850,850,"02.195.059/0001-08 / G & S IMAGENS DO BRASIL LTDA.",850,769.67,,,"IMAGEM - AQUISICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003736/2019-04,Publicidade,Produção,2019/11/04,2019/12/05,2019NE800002,Institucional,107783,2019OB801275,,"MATERIAIS INSTITUCIONAIS 2019",318126,13030,2794.5,2780.84,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",2700,2700,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003736/2019-04,Publicidade,Produção,2019/11/04,2019/12/05,2019NE800002,Institucional,107783,2019OB801275,,"MATERIAIS INSTITUCIONAIS 2019",318128,13032,318.78,317.22,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",308,308,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003736/2019-04,Publicidade,Produção,2019/11/04,2019/12/05,2019NE800002,Institucional,107783,2019OB801275,,"MATERIAIS INSTITUCIONAIS 2019",318127,13031,3073.95,3058.93,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",2970,2970,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003737/2019-41,Publicidade,Produção,2019/11/04,2019/12/05,2018NE800002,Institucional,107783,2019OB801276,,"SÃO FRANCISCO",318059,13015,107.2,107.2,"06.990.546/0001-13 / SIZMEK PROPAGANDA DIGITAL DO BRASIL LTDA.",107.2,97.07,,,"INTERNET - ADSERVER/RICH MEDIA",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003737/2019-41,Publicidade,Produção,2019/11/04,2019/12/05,2018NE800190,Institucional,107783,2019OB801276,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",318129,13033,284.2,284.2,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",284.2,284.2,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003741/2019-17,Publicidade,Midia,2019/11/04,2019/12/05,2018NE800190,Institucional,107783,2019OB801282,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",318242,13056,239.4,233.94,"19.114.115/0001-35 / FUNDACAO PADRE PENTEADO",201.6,201.6,"DIFUSORA AM - RCR",,Rádio,Regional,"CARMO DO RIO CLARO - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003741/2019-17,Publicidade,Midia,2019/11/04,2019/12/05,2018NE800190,Institucional,107783,2019OB801282,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",318244,13058,1120.36,1094.79,"29.157.765/0001-11 / RADIO TRES RIOS LTDA",943.46,854.3,"TRES RIOS AM",,Rádio,Regional,"TRES RIOS - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003744/2019-42,Publicidade,Midia,2019/11/04,2019/12/05,2019NE800124,"Utilidade Pública",159685,2019OB801277,,"Censo Experimental 2019",318245,13059,205.2,200.52,"01.385.423/0001-30 / REDE NOVO TEMPO DE COMUNICACAO",172.8,172.8,"NOVO TEMPO FM 97,5 - POCOS DE CALDAS/MG",,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003763/2019-79,Publicidade,Produção,2019/11/08,2019/12/05,2019NE800002,Institucional,107783,2019OB801288,,"MATERIAIS INSTITUCIONAIS 2019",318339,13064,1449,1441.92,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1400,1400,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003763/2019-79,Publicidade,Produção,2019/11/08,2019/12/05,2019NE800085,Institucional,107783,2019OB801288,,"MATERIAIS INSTITUCIONAIS 2019",318343,13063,2794.5,2780.84,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",2700,2700,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003763/2019-79,Publicidade,Produção,2019/11/08,2019/12/05,2019NE800085,Institucional,107783,2019OB801288,,"MATERIAIS INSTITUCIONAIS 2019",318342,13062,284.63,283.24,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",275,275,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003763/2019-79,Publicidade,Produção,2019/11/08,2019/12/05,2019NE800085,Institucional,107783,2019OB801288,,"MATERIAIS INSTITUCIONAIS 2019",318341,13066,3073.95,3058.93,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",2970,2970,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003763/2019-79,Publicidade,Produção,2019/11/08,2019/12/05,2019NE800085,Institucional,107783,2019OB801288,,"MATERIAIS INSTITUCIONAIS 2019",318340,13065,313.09,311.56,"11.365.995/0001-00 / INOVE SINALIZACAO E COMUNICACAO VISUAL EIRELI",302.5,302.5,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003766/2019-11,Publicidade,Produção,2019/11/18,2019/12/05,2019NE800124,"Utilidade Pública",159685,2019OB801296,,"Censo Experimental 2019",318160,13040,375,375,"27.865.757/0001-02 / GLOBO COMUNICACAO E PARTICIPACOES S/A",375,339.56,,,"AUDIO E VIDEO - ENVIO VIA LINK",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003768/2019-00,Publicidade,Produção,2019/11/05,2019/12/05,2019NE800085,Institucional,107783,2019OB801284,,"Ação de oportunidade - Dia da Amazônia",318124,13028,230,230,"45.039.237/0001-14 / TVSBT CANAL 4 DE SAO PAULO S/A",230,208.26,,,"AUDIO E VIDEO - ENVIO VIA LINK",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003769/2019-46,Publicidade,Midia,2019/11/05,2019/12/05,2017NE800246,Institucional,107783,2019OB801285,,"Campanha de Fim de Ano",318379,13078,560.5,547.71,"03.557.940/0001-74 / FUNDACAO DOM JOSE ANTONIO DO COUTO",472,472,"CULTURA 790 AM",,Rádio,Regional,"TAUBATE - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003769/2019-46,Publicidade,Midia,2019/11/05,2019/12/05,2017NE800314,Institucional,107783,2019OB801285,,"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE -COMPLEMENTAR",318382,13081,1368,1336.79,"02.393.067/0001-69 / RADIO CAJAZEIRAS FM LTDA",1152,1043.14,"CORREIO DA SERRA FM","SISTEMA CORREIO DE COMUNICAÇAO",Rádio,Regional,"SOLANEA - PB"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003770/2019-71,Publicidade,Midia,2019/11/05,2019/12/05,2017NE800293,"Utilidade Pública",137046,2019OB801286,,"AVANÇAR - PARCERIAS",318380,13079,456,445.6,"26.865.402/0001-42 / RADIO SOCIEDADE VERA CRUZ LTDA",384,347.71,"SOCIEDADE VERA CRUZ AM",,Rádio,Regional,"GOIANESIA - GO"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003771/2019-15,Publicidade,Midia,2019/11/05,2019/12/05,2018NE800219,"Utilidade Pública",109684,2019OB801287,,"Programa Nacional de Imunização - PNI",311335,11974,3890.25,3801.49,"02.745.624/0005-97 / ESTACAO CINEMA E CULTURA LTDA",3276,2966.42,"ESTACAO GAVEA",,Cinema,Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003771/2019-15,Publicidade,Midia,2019/11/05,2019/12/05,2018NE800190,Institucional,107783,2019OB801287,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",310409,11769,2593.5,2534.32,"01.425.583/0002-46 / CIRCUITO CINEARTE LTDA",2184,1977.61,"CINE SALA (EX CINE SABESP, EX FITMEDIA)",,Cinema,Regional,"SAO PAULO - SP"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003791/2019-96,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801294,,"Ação de oportunidade - Dia da Amazônia",318559,13104,6800,6800,"15.871.177/0001-30 / PICTURE HOUSE PRODUCOES EIRELI",6800,6157.4,,,"IMAGEM - AQUISICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003791/2019-96,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801294,,"Brasil no exterior II - Pós-prorrogação contratual",318461,13092,14400,14400,"27.283.879/0001-82 / LIRA HARMONIA MUSICA E AUDIO LTDA",14400,14400,,,"AUDIO E VIDEO - EDICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003791/2019-96,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801294,,"Ação de oportunidade - Dia da Amazônia",318561,13106,97648,97648,"22.380.095/0001-59 / VAPT FILMES PRODUCOES EIRELI",97648,88420.26,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003791/2019-96,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800085,Institucional,107783,2019OB801294,,"Brasil no exterior II - Pós-prorrogação contratual",318560,13105,43392,43392,"22.380.095/0001-59 / VAPT FILMES PRODUCOES EIRELI",43392,39291.46,,,"AUDIO E VIDEO - EDICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003792/2019-31,Publicidade,Midia,2019/11/18,2019/12/05,2018NE800005,"Utilidade Pública",107784,2019OB801297,,"Campanha Queimadas",318565,13110,1508.22,1473.81,"04.832.721/0001-19 / TELEVISAO LIBERAL SA",1270.08,1150.06,"RÁDIO LIBERAL FM",ORM,Rádio,Regional,"BELEM - PA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003792/2019-31,Publicidade,Midia,2019/11/18,2019/12/05,2018NE800190,Institucional,107783,2019OB801297,,"Segurança Pública",318567,13112,26098.4,25502.94,"19.548.228/0001-49 / OTIMA BRASIL LTDA",21977.6,19900.72,OTIMA,,"Mídia Exterior Digital",Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003793/2019-85,Publicidade,Midia,2019/11/18,2019/12/05,2017NE800246,Institucional,107783,2019OB801298,,AVANÇAR,318563,13108,1359.45,1328.44,"08.569.325/0001-00 / RADIO JORNAL O DIARIO LTDA",1144.8,1144.8,"DIARIO FM",,Rádio,Regional,"CAMPOS DOS GOYTACAZES - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003793/2019-85,Publicidade,Midia,2019/11/18,2019/12/05,2017NE800314,Institucional,107783,2019OB801298,,"CAMPANHA REFORMA DA PREVIDÊNCIA - 4ª FASE -COMPLEMENTAR",318564,13109,3308.85,3233.36,"08.569.325/0001-00 / RADIO JORNAL O DIARIO LTDA",2786.4,2786.4,"DIARIO FM",,Rádio,Regional,"CAMPOS DOS GOYTACAZES - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003817/2019-04,Publicidade,Produção,2019/11/11,2019/12/05,2019NE800002,Institucional,107783,2019OB801295,,"Brasil no exterior",318644,13147,366259.2,366259.2,"22.380.095/0001-59 / VAPT FILMES PRODUCOES EIRELI",366259.2,331647.71,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003650/2019-73,Publicidade,Midia,2019/10/31,2019/12/04,2019NE800124,"Utilidade Pública",159685,2019OB801237,,"Censo Experimental 2019",317466,12926,1527.03,1492.19,"02.579.308/0001-69 / RADIO E TELEVISAO CAPITAL LTDA",1285.92,1164.4,"RECORD - RECMINAS - VARGINHA - MG - PROGRAMAS LOCAIS",RECORD,Televisão,Regional,"VARGINHA - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003650/2019-73,Publicidade,Midia,2019/10/31,2019/12/04,2019NE800124,"Utilidade Pública",159685,2019OB801237,,"Censo Experimental 2019",317547,12959,416.48,406.98,"01.385.423/0001-30 / REDE NOVO TEMPO DE COMUNICACAO",350.72,350.72,"NOVO TEMPO FM 97,5 - POCOS DE CALDAS/MG",,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003650/2019-73,Publicidade,Midia,2019/10/31,2019/12/04,2019NE800124,"Utilidade Pública",159685,2019OB801237,,"Censo Experimental 2019",317546,12958,468.16,457.47,"60.303.914/0001-53 / PLANALTO - FM STEREO SOM S.A.",394.24,356.98,"NATIVA FM - POÇOS DE CALDAS/MG",BAND,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003650/2019-73,Publicidade,Midia,2019/10/31,2019/12/04,2019NE800124,"Utilidade Pública",159685,2019OB801237,,"Censo Experimental 2019",317544,12956,205.2,200.52,"01.385.423/0001-30 / REDE NOVO TEMPO DE COMUNICACAO",172.8,172.8,"NOVO TEMPO FM 97,5 - POCOS DE CALDAS/MG",,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003652/2019-62,Publicidade,Produção,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801238,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",317533,12946,542.8,542.8,"33.458.423/0001-09 / MULTCOR ARTES GRAFICAS EIRELI",542.8,542.8,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003662/2019-06,Publicidade,Produção,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801243,,"Segurança Pública",308263,11056,192,192,"68.425.628/0001-72 / NEOBAND SOLUCOES GRAFICAS EIRELI",192,173.86,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003668/2019-75,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800219,"Utilidade Pública",109684,2019OB801244,,"Programa Nacional de Imunização - PNI",317799,13001,3890.25,3801.49,"04.969.463/0004-60 / CINEMA ARTEPLEX LTDA.",3276,2966.42,"ESPAÇO ITAÚ DE CINEMA - CURITIBA (EX FITMEDIA)",,Cinema,Regional,"CURITIBA - PR"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003668/2019-75,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800219,"Utilidade Pública",109684,2019OB801244,,"Programa Nacional de Imunização - PNI",317800,13002,3890.25,3801.49,"04.969.463/0006-21 / CINEMA ARTEPLEX LTDA.",3276,2966.42,"ESPAÇO ITAÚ DE CINEMA - BOTAFOGO (EX FITMEDIA)",,Cinema,Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003670/2019-44,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801246,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",313101,12296,63175.01,61733.62,"10.237.278/0001-30 / CITTAMOBI DESENVOLVIMENTO EM TECNOLOGIA LTDA.",53200.01,48172.61,CITTAMOBI,,Internet,Nacional,Brasil
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003670/2019-44,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801246,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",317723,13000,3890.25,3801.49,"04.969.463/0007-02 / CINEMA ARTEPLEX LTDA.",3276,2966.42,"ESPAÇO ITAÚ DE CINEMA - BRASILIA (EX FITMEDIA)",,Cinema,Regional,"BRASILIA - DF"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003670/2019-44,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801246,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",317540,12952,43809.25,42809.71,"59.158.535/0001-38 / RADIO 99 FM STEREO LTDA",36892,33405.71,"REDE ALELUIA",ALELUIA,Rádio,Nacional,Brasil
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003670/2019-44,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801246,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",317801,13003,3890.25,3801.49,"04.969.463/0004-60 / CINEMA ARTEPLEX LTDA.",3276,2966.42,"ESPAÇO ITAÚ DE CINEMA - CURITIBA (EX FITMEDIA)",,Cinema,Regional,"CURITIBA - PR"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003670/2019-44,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801246,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",313731,12365,712.88,696.61,"11.403.554/0001-56 / AMIZADE RADIODIFUSAO E PRODUCOES ARTISTICAS LTDA",600.32,600.32,"AMIZADE FM",,Rádio,Regional,"IRAUCUBA - CE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003672/2019-33,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800193,"Utilidade Pública",107784,2019OB801248,,"Campanha Queimadas - COMPLEMENTAR",317722,12999,16258.61,15887.66,"04.304.219/0001-35 / EDITORA BRASIL 21LTDA",13691.47,12397.63,"DINHEIRO RURAL",TRÊS,Internet,Nacional,Brasil
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003685/2019-11,Publicidade,Midia,2019/10/31,2019/12/04,2018NE800190,Institucional,107783,2019OB801251,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",309316,11516,233293.21,227970.44,"33.216.797/0001-18 / EDITORA O DIA LTDA - EM RECUPERACAO JUDICIAL",196457.45,177892.22,"O DIA",EJESA,Internet,Regional,"RIO DE JANEIRO - RJ"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003941/2019-61,Publicidade,Midia,2019/11/27,2019/12/04,2019NE800085,Institucional,107783,2019OB801256/2019OB801257,,"Brasil no exterior II - Pós-prorrogação contratual",319303,13250,1252378.15,1224511.61,"42-1732443(USA) / LATCOM LLC",1059530.07,1059530.07,"LATCOM LLC",,"Mídia Exterior Digital",Exterior,"NORUEGA,ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003899/2019-89,Publicidade,Midia,2019/11/22,2019/11/26,2019NE800085,Institucional,107783,2019OB801233/1234/1235,"Pagamento de veiculação no exterior","Brasil no exterior II - Pós-prorrogação contratual",318882,13195,159035.64,155539.18,"42-1732443(USA) / LATCOM LLC",134838.69,134838.69,"LATCOM LLC",,"Mídia Exterior Digital",Exterior,ALEMANHA
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003899/2019-89,Publicidade,Midia,2019/11/22,2019/11/26,2019NE800085,Institucional,107783,2019OB801233/1234/1235,"Pagamento de veiculação no exterior","Brasil no exterior II - Pós-prorrogação contratual",318883,13196,4716857.3,4613155.39,"42-1732443(USA) / LATCOM LLC",3999197.03,3999197.03,"LATCOM LLC",,"Mídia Exterior Digital",Exterior,"ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.003559/2019-58,Publicidade,Midia,2019/10/21,2019/11/01,2018NE800190,Institucional,107783,2019OB801205,,"CAMPANHA DE PRESTAÇÃO DE CONTAS",317281,12886,751.35,734.21,"03.657.806/0001-45 / TV AMAZONIA LTDA",632.72,572.93,"BAND MACAPA",BAND,Televisão,Regional,"MACAPA - AP"
